Label,# Samples,Error %,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/autenticacion2/authentication-ui/assets/svg/icons/buildings.svg-149,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/icons/comunicaciones/email.svg-140,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/icons/comunicaciones/phone-enabled.svg-141,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/vuce-icons/escudo.svg-147,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/vuce-icons/iso.svg-146,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/vuce-icons/vuce-red.svg-148,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/business-inteligence.svg-42,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/certificado-origen.svg-38,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/gestion-de-autorizaciones.svg-37,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/gestion-de-naves.svg-39,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/gestion-electronica-expedientes.svg-41,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/gestion-empresarial.svg-45,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/market-place.svg-44,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/mercancias-restringidas.svg-35,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/miio.svg-40,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/mislo.svg-46,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/pam.svg-48,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/ruta-productiva-exportadora.svg-47,1,0.0,1.0,4.0,Excellent,true,false
test/autenticacion2/landing-componentes/assets/images/Iconos_Landing_Componentes/sistema-gestion-riesgos.svg-43,1,0.0,1.0,4.0,Excellent,true,false
