timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745527764672,97,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/existe-funcionario?componente=MR&usuario=EXTA0125&tipoDocumento=2&numeroDocumento=40038240-4,200,OK,Thread Gruop 1-1,,true,,1307,733,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/existe-funcionario?componente=MR&usuario=EXTA0125&tipoDocumento=2&numeroDocumento=40038240,97,0,67
1745527764770,153,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/existe-funcionario-5,200,OK,Thread Gruop 1-1,text,true,,928,813,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/existe-funcionario?componente=MR&usuario=EXTA0125&tipoDocumento=2&numeroDocumento=40038240,153,0,0
1745527764924,38,test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038240&cacheable=true-7,200,OK,Thread Gruop 1-1,,true,,1285,858,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038240&cacheable=true,38,0,0
1745527764962,213,test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec-10,200,OK,Thread Gruop 1-1,text,true,,654,859,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038240&cacheable=true,213,0,0
1745527765175,41,test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/perfil-habilitado-activo?usuario=EXTA0125-11,200,OK,Thread Gruop 1-1,,true,,1345,900,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/perfil-habilitado-activo?usuario=EXTA0125,41,0,0
1745527765216,149,test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/perfil-habilitado-activo-12,200,OK,Thread Gruop 1-1,text,true,,864,890,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/perfil-habilitado-activo?usuario=EXTA0125,149,0,0
1745527765366,32,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=2&numeroDocumento=40038240-13,200,OK,Thread Gruop 1-1,,true,,1395,970,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=2&numeroDocumento=40038240,32,0,0
1745527765398,36,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHEXTRA&usuario=EXTA0125-14,200,OK,Thread Gruop 1-1,,true,,1395,965,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHEXTRA&usuario=EXTA0125,36,0,0
1745527765434,104,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe-15,200,OK,Thread Gruop 1-1,text,true,,750,960,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=2&numeroDocumento=40038240,104,0,0
1745527765539,83,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy-16,200,OK,Thread Gruop 1-1,text,true,,1061,955,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHEXTRA&usuario=EXTA0125,83,0,0
