Label,# Samples,Error %,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/autenticacion2/authentication-ui/assets/svg/countries/ad.svg-32,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/af.svg-29,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/ai.svg-34,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/al.svg-30,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/ao.svg-33,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/ax.svg-42,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/cg.svg-37,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/co.svg-36,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/cy.svg-35,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/de.svg-31,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/hk.svg-39,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/hn.svg-40,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/id.svg-38,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/nf.svg-41,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/ng.svg-43,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/authentication-ui/assets/svg/countries/pe.svg-28,1,0.0,1.0,2.0,Excellent,true,false
test/autenticacion2/landing-componentes/landing-auth-61,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe-15,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=2&numeroDocumento=40038240-13,1,0.0,1.0,2.0,Excellent,true,false
