timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745527598638,106,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero?numeroDocumentoSecundario=&tipoDocumentoSecundario=2&numeroAutenticado=20506601330&idpLogin=AUTHSUNAT&usuarioSol=DCC25301&componente=MR-825,200,OK,Thread Gruop 1-1,,true,,1307,798,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero?numeroDocumentoSecundario=&tipoDocumentoSecundario=2&numeroAutenticado=20506601330&idpLogin=AUTHSUNAT&usuarioSol=DCC25301&componente=MR,106,0,64
1745527598744,29,test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038284&cacheable=true-826,200,OK,Thread Gruop 1-1,,true,,1210,791,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038284&cacheable=true,29,0,0
1745527598773,284,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero-828,200,OK,Thread Gruop 1-1,,true,,760,878,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero?numeroDocumentoSecundario=&tipoDocumentoSecundario=2&numeroAutenticado=20506601330&idpLogin=AUTHSUNAT&usuarioSol=DCC25301&componente=MR,284,0,0
1745527599058,74,test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec-827,200,OK,Thread Gruop 1-1,text,true,,654,885,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038284&cacheable=true,74,0,0
1745527599132,37,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=1&numeroDocumento=20506601330-829,200,OK,Thread Gruop 1-1,,true,,1328,906,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=1&numeroDocumento=20506601330,37,0,0
1745527599169,75,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe-830,200,OK,Thread Gruop 1-1,text,true,,750,896,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=1&numeroDocumento=20506601330,75,0,0
1745527599244,31,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHSUNAT&usuario=DCC25301&tipoDocumento=1&numeroDocumento=20506601330-831,200,OK,Thread Gruop 1-1,,true,,1328,942,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHSUNAT&usuario=DCC25301&tipoDocumento=1&numeroDocumento=20506601330,31,0,0
1745527599275,69,test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy-832,200,OK,Thread Gruop 1-1,text,true,,1119,932,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHSUNAT&usuario=DCC25301&tipoDocumento=1&numeroDocumento=20506601330,69,0,0
1745527599344,29,test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-836,200,OK,Thread Gruop 1-1,,true,,1314,889,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL,29,0,0
1745527599374,34,test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-834,200,OK,Thread Gruop 1-1,,true,,1314,889,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL,34,0,0
