timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745620380543,665,test/mr2/buzon-sp/buzon/v1/fragmento-97,200,,Thread Gruop 1-1,text,true,,1586,2300,1,1,https://landing-test.vuce.gob.pe/mr2/buzon-sp/buzon/v1/fragmento?idUsuario=1086&size=4,665,0,29
1745620381208,636,test/mr2/buzon-sp/buzon/v1/fragmento-98,200,,Thread Gruop 1-1,text,true,,1465,2375,1,1,https://landing-test.vuce.gob.pe/mr2/buzon-sp/buzon/v1/fragmento?idUsuario=1086&size=4,636,0,0
1745620381844,488,test/mr2/buzon-sp/buzon/v1/embedded-99,200,,Thread Gruop 1-1,text,true,,507,2385,1,1,https://landing-test.vuce.gob.pe/mr2/buzon-sp/buzon/v1/embedded?usuario=1086,488,0,0
1745620382333,44,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065-106,200,OK,Thread Gruop 1-1,,true,,1347,840,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065,44,0,22
1745620382378,626,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario-107,200,,Thread Gruop 1-1,text,true,,1108,2688,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065,626,0,0
1745620383004,29,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-108,200,OK,Thread Gruop 1-1,,true,,1301,999,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR,29,0,0
1745620383034,38,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente-109,200,,Thread Gruop 1-1,text,true,,946,2772,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR,38,0,0
1745620383073,20,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-110,200,OK,Thread Gruop 1-1,,true,,1301,985,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR,20,0,0
1745620383094,53,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components-111,200,,Thread Gruop 1-1,text,true,,2883,2758,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR,53,0,0
1745620383148,19,test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-113,200,OK,Thread Gruop 1-1,,true,,1301,983,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR,19,0,0
