Etiqueta,# Muestras,% Error,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/mr2/buzon-sp/buzon/v1/embedded-99,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento-97,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento-98,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-121,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-128,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-131,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-136,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-160,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-165,1,0.0,1.0,2.0,Excellent,true,false
test/mr2/buzon-sp/buzon/v1/fragmento/count-174,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-attachment/1.0/get-filenet-170,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-attachment/1.0/get-filenet?iddocumento=D08B0196-0000-C716-9781-BC120B082E13&perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-169,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente-109,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/componente?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-108,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario-107,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/authorization/usuario?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065-106,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-155,1,0.0,1.0,2.0,Excellent,true,false
