timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758164868086,131,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21799,2348,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,121,0,85
1758164868218,30,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2586,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,29,0,0
1758164868248,6139,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?callSign=&matricula=&nombreNave=&imo=&estadoDueId=1,9,10,11&convoy=no&puertoEscalaId=CLL&ruc=20100010136",200,OK,Thread Group 1-1,text,true,,1460544,2681,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?nombreNave=&convoy=no&ruc=20100010136&estadoDueId=1%2C9%2C10%2C11&matricula=&imo=&puertoEscalaId=CLL&callSign=,773,0,0
1758164874388,70,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/3193?estadoDueId=4,5,6",200,OK,Thread Group 1-1,text,true,,4072,2664,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/3193?estadoDueId=4%2C5%2C6,70,0,0
1758164874458,31,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=SANTA%20m&page=0&size=10,200,,Thread Group 1-1,text,true,,2218,2694,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=SANTA+m&page=0,31,0,0
1758164874490,78,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/buscarByFichaTecnicaId/2967,200,OK,Thread Group 1-1,text,true,,4358,2649,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/buscarByFichaTecnicaId/2967,78,0,0
1758164874569,86,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=3193,200,OK,Thread Group 1-1,text,true,,928,2731,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=3193,86,0,0
1758164874655,70,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,201,Created,Thread Group 1-1,text,true,,1694,3750,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,70,0,0
1758164874725,175,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,1696,4051,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,175,0,0
1758164874900,505,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/buzon/1.0/notificaciones,200,,Thread Group 1-1,text,true,,672,3184,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/buzon/1.0/notificaciones,505,0,0
1758164875406,79,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,200,OK,Thread Group 1-1,text,true,,9366,2918,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,79,0,0
1758164875485,61,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,200,OK,Thread Group 1-1,text,true,,943,2911,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,61,0,0
1758164875547,58,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,200,OK,Thread Group 1-1,text,true,,943,2911,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,58,0,0
1758164875605,68,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,PAI,YMS,CHM,ILQ",200,OK,Thread Group 1-1,text,true,,1456,2956,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL%2CPAI%2CYMS%2CCHM%2CILQ,68,0,0
1758164875673,83,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21596,2915,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,38,0,0
1758164875756,27,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2921,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,27,0,0
1758164875784,94,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=&page=0&size=10,200,,Thread Group 1-1,text,true,,2007,2955,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=&page=0,94,0,0
1758164875878,33,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=&page=0&size=10,200,,Thread Group 1-1,text,true,,2007,2955,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=&page=0,33,0,0
1758164875912,162,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2578,200,OK,Thread Group 1-1,text,true,,23918,2922,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2578,132,0,0
1758164876074,62,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/listatripulante/lista/2578,200,OK,Thread Group 1-1,text,true,,1452,2994,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/listatripulante/lista/2578,62,0,0
1758164876136,534,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-command/1.0/libretaembarque/cargaMasivaTripulante,200,OK,Thread Group 1-1,text,true,,9625,32639,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-command/1.0/libretaembarque/cargaMasivaTripulante,534,0,0
1758164876671,81,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,200,OK,Thread Group 1-1,text,true,,9366,3052,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,67,0,0
1758164876752,68,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,200,OK,Thread Group 1-1,text,true,,943,3045,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,68,0,0
1758164876820,158,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,3055,5087,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,158,0,0
1758164876978,106,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2578,200,OK,Thread Group 1-1,text,true,,27643,3056,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2578,66,0,0
1758164877084,1074,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,200,OK,Thread Group 1-1,text,true,,9366,3052,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2578?escalaId=2578,1074,0,0
1758164878159,68,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,200,OK,Thread Group 1-1,text,true,,943,3045,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2578,68,0,0
