timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759262252134,92,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,200,,Thread Group 1-1,text,true,,136339,2321,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,60,0,28
1759262252229,20,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=ESTADO_DDJJ,200,,Thread Group 1-1,text,true,,1122,2605,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=ESTADO_DDJJ,20,0,0
1759262252251,20,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=entidad,200,,Thread Group 1-1,text,true,,3962,2665,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=entidad,20,0,0
1759262252272,21,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=agencia,200,,Thread Group 1-1,text,true,,13986,2665,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=agencia,21,0,0
1759262252295,415,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,200,,Thread Group 1-1,text,true,,2063849,2664,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,227,0,0
1759262252712,23,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,200,,Thread Group 1-1,text,true,,3821,2672,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,23,0,0
1759262252737,506,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada/list?pageNumber=1&pageSize=25&entidad=17&djjFechaDesde=2025-09-20&djjFechaHasta=2025-09-20&due=CLL-2025-,200,OK,Thread Group 1-1,text,true,,5154,2773,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada/list?pageNumber=1&djjFechaHasta=2025-09-20&due=CLL-2025-&entidad=17&pageSize=25&djjFechaDesde=2025-09-20,506,0,0
1759262253246,161,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-command/1.0/declaracion-jurada,200,OK,Thread Group 1-1,text,true,,2004,2852,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-command/1.0/declaracion-jurada,160,0,0
1759262253409,236,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,200,OK,Thread Group 1-1,text,true,,1138,2820,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,236,0,0
1759262253648,152,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/buscaravanzadanew,200,OK,Thread Group 1-1,text,true,,1961,3329,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/buscaravanzadanew,152,0,0
1759262253803,238,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,200,OK,Thread Group 1-1,text,true,,9797,2866,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,238,0,0
1759262254042,50,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2638,200,OK,Thread Group 1-1,text,true,,943,2859,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2638,50,0,0
1759262254097,34,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21581,2870,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,33,0,0
1759262254132,19,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2876,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,19,0,0
