timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758422542541,110,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndAttribute?clase=%27DUE%27&code=documento&estado=%27S%27,200,,Thread Group 1-1,text,true,,3851,2411,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndAttribute?estado=%27S%27&code=documento&clase=%27DUE%27,109,0,67
1758422542651,99,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/supervision-due/documentos-vencidos?idEscala=2638,200,OK,Thread Group 1-1,text,true,,1259,2625,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/supervision-due/documentos-vencidos?idEscala=2638,99,0,0
1758422542750,64,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/auth-arribo/listar-opinion?escalaId=2638&indicador=E,200,OK,Thread Group 1-1,text,true,,1128,2695,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/auth-arribo/listar-opinion?escalaId=2638&indicador=E,64,0,0
1758422542814,32,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=FRASES_AUTORIZACION,200,,Thread Group 1-1,text,true,,1274,2680,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=FRASES_AUTORIZACION,32,0,0
1758422542846,110,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,200,OK,Thread Group 1-1,text,true,,9799,2650,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,110,0,0
1758422542956,162,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escala-seguimientos/search?escalaId=2638,200,OK,Thread Group 1-1,text,true,,184250,2683,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escala-seguimientos/search?escalaId=2638,133,0,0
1758422543119,77,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/agency/findByRuc?ruc=20551239692,200,OK,Thread Group 1-1,text,true,,972,2675,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/agency/findByRuc?ruc=20551239692,77,0,0
1758422543196,57,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/agency/findByRuc?ruc=20504794637,200,OK,Thread Group 1-1,text,true,,968,2675,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/agency/findByRuc?ruc=20504794637,57,0,0
1758422543253,181,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,953,4603,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,181,0,0
1758422543434,323,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/buscaravanzadanew,200,OK,Thread Group 1-1,text,true,,29945,3163,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/buscaravanzadanew,323,0,0
1758422543757,32,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21581,2714,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,32,0,0
1758422543790,34,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=muelle,200,,Thread Group 1-1,text,true,,51365,2712,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=muelle,34,0,0
1758422543824,30,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=aduana,200,,Thread Group 1-1,text,true,,1827,2712,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=aduana,30,0,0
1758422543854,75,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/coordenadas/gms-a-decimal,200,OK,Thread Group 1-1,text,true,,785,2827,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/coordenadas/gms-a-decimal,75,0,0
1758422543930,54,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,200,,Thread Group 1-1,text,true,,136202,2754,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,37,0,0
1758422543984,461,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,200,,Thread Group 1-1,text,true,,2064015,2872,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,190,0,0
1758422544445,36,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,200,,Thread Group 1-1,text,true,,3821,2880,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,36,0,0
1758422544481,1127,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CHM&annoEscala=2025&page=1&size=25,200,OK,Thread Group 1-1,text,true,,1021,2921,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&puertoEscalaId=CHM&page=1&annoEscala=2025,1127,0,0
1758422545609,60,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,2940,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,60,0,0
1758422545669,26,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=inspectorSanitario,200,,Thread Group 1-1,text,true,,923,2951,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=inspectorSanitario,26,0,0
1758422545696,26,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoInspeccion,200,,Thread Group 1-1,text,true,,1227,2949,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoInspeccion,26,0,0
1758422545723,1180,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&page=1&size=25,200,OK,Thread Group 1-1,text,true,,76383,2988,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&puertoEscalaId=CLL&page=1&annoEscala=2025,1178,0,0
1758422546904,910,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&page=1&size=25,200,OK,Thread Group 1-1,text,true,,76367,2988,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&puertoEscalaId=CLL&page=1&annoEscala=2025,908,0,0
1758422547814,812,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&numeroEscala=1185&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3888,3006,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&numeroEscala=1185&puertoEscalaId=CLL&page=1&annoEscala=2025,812,0,0
1758422548626,979,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&numeroEscala=1185&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3888,3006,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&numeroEscala=1185&puertoEscalaId=CLL&page=1&annoEscala=2025,979,0,0
1758422549606,896,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/887,200,OK,Thread Group 1-1,text,true,,6810,2942,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/887,896,0,0
1758422550503,1000,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,200,OK,Thread Group 1-1,text,true,,3888,2950,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,1000,0,0
1758422551504,59,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,2940,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,59,0,0
1758422551563,25,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,200,,Thread Group 1-1,text,true,,1051,2961,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,25,0,0
1758422551589,630,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,200,OK,Thread Group 1-1,text,true,,3888,2950,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,630,0,0
1758422552219,59,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,2940,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,59,0,0
1758422552278,31,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,200,,Thread Group 1-1,text,true,,1051,2961,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,31,0,0
1758422552310,57,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,2940,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,57,0,0
1758422552368,740,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-command/1.0/inspeccion-sanitaria,200,OK,Thread Group 1-1,text,true,,1508,3317,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-command/1.0/inspeccion-sanitaria,740,0,0
1758422553108,423,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,200,,Thread Group 1-1,text,true,,2064023,3006,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puerto,179,0,0
1758422553532,36,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,200,,Thread Group 1-1,text,true,,3821,3014,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=puertoNacional,36,0,0
1758422553568,735,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CHM&annoEscala=2025&page=1&size=25,200,OK,Thread Group 1-1,text,true,,924,3055,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&puertoEscalaId=CHM&page=1&annoEscala=2025,735,0,0
1758422554304,64,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,3007,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,64,0,0
1758422554368,33,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=inspectorSanitario,200,,Thread Group 1-1,text,true,,923,3018,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=inspectorSanitario,33,0,0
1758422554401,22,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoInspeccion,200,,Thread Group 1-1,text,true,,1227,3016,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoInspeccion,22,0,0
1758422554423,589,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&numeroEscala=1185&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3888,3073,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&numeroEscala=1185&puertoEscalaId=CLL&page=1&annoEscala=2025,589,0,0
1758422555013,690,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&numeroEscala=1185&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3888,3073,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&numeroEscala=1185&puertoEscalaId=CLL&page=1&annoEscala=2025,690,0,0
1758422555704,620,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?puertoEscalaId=CLL&annoEscala=2025&numeroEscala=1185&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3888,3073,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria?size=25&numeroEscala=1185&puertoEscalaId=CLL&page=1&annoEscala=2025,620,0,0
1758422556325,674,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/887,200,OK,Thread Group 1-1,text,true,,6783,3009,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/887,674,0,0
1758422557000,67,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL/17,200,OK,Thread Group 1-1,text,true,,1083,3010,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL/17,67,0,0
1758422557067,534,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,200,OK,Thread Group 1-1,text,true,,3888,3017,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,534,0,0
1758422557601,61,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,3007,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,61,0,0
1758422557662,28,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,200,,Thread Group 1-1,text,true,,1051,3028,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,28,0,0
1758422557690,514,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,200,OK,Thread Group 1-1,text,true,,3888,3017,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichasanitaria-query/1.0/inspeccion-sanitaria/escala/2638,514,0,0
1758422558204,65,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,3007,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,65,0,0
1758422558270,33,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,200,,Thread Group 1-1,text,true,,1051,3028,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=CONCLUSION_INSP_SANITARIA,33,0,0
1758422558304,55,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,200,OK,Thread Group 1-1,text,true,,8096,3007,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/CLL,55,0,0
