timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759265446037,140,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,200,OK,Thread Group 1-1,text,true,,9991,2351,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2638?escalaId=2638,140,0,24
1759265446180,70,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2638,200,OK,Thread Group 1-1,text,true,,943,2576,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2638,70,0,0
1759265446253,65,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,PAI,YMS,CHM,ILQ",200,OK,Thread Group 1-1,text,true,,1456,2621,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL%2CPAI%2CYMS%2CCHM%2CILQ,65,0,0
1759265446321,40,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21686,2580,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,40,0,0
1759265446362,18,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2653,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,18,0,0
1759265446381,236,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=&page=0&size=10,200,,Thread Group 1-1,text,true,,2007,2687,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=&page=0,236,0,0
1759265446619,99,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2638,200,OK,Thread Group 1-1,text,true,,10137,2654,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/tripulante/lista/2638,99,0,0
1759265446719,55,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/listatripulante/lista/2638,200,OK,Thread Group 1-1,text,true,,1124,2726,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/cambioagenciatripulante-query/1.0/listatripulante/lista/2638,55,0,0
1759265446777,111,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/2638/estado,200,OK,Thread Group 1-1,text,true,,994,2802,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/2638/estado,111,0,0
1759265446890,207,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,1730,3929,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,207,0,0
1759265447098,69,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/listaPasajero/2638,200,OK,Thread Group 1-1,text,true,,1121,2843,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/listaPasajero/2638,69,0,0
1759265447168,81,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/pasajero/lista/2638?numberPage=1&sizePage=25,200,OK,Thread Group 1-1,text,true,,35329,2869,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/pasajero/lista/2638?numberPage=1&sizePage=25,81,0,0
1759265447250,16,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoOperacion,200,,Thread Group 1-1,text,true,,1089,2853,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoOperacion,15,0,0
1759265447266,115,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=onu,200,,Thread Group 1-1,text,true,,696816,2843,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=onu,65,0,0
1759265447383,84,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/lista/2638,200,OK,Thread Group 1-1,text,true,,1054,2855,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/lista/2638,83,0,0
1759265447467,68,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/2638?indicadorES=S&page=1&size=25,200,OK,Thread Group 1-1,text,true,,3196,2878,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/2638?size=25&indicadorES=S&page=1,68,0,0
1759265447538,60,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/copy/2638?indicadorEs=E&listId=1511,200,OK,Thread Group 1-1,text,true,,4585,2880,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/mercancia-peligrosa/copy/2638?listId=1511&indicadorEs=E,60,0,0
1759265447601,71,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/status/2638,200,OK,Thread Group 1-1,text,true,,1101,2848,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/status/2638,71,0,0
1759265447674,77,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/estado/S/escala/2638/indicador/S,200,OK,Thread Group 1-1,text,true,,1922,2869,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/estado/S/escala/2638/indicador/S,77,0,0
1759265447754,65,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/estado/S/escala/2638/indicador/E,200,OK,Thread Group 1-1,text,true,,1922,2869,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/provisiones/estado/S/escala/2638/indicador/E,65,0,0
1759265447820,22,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=aduana,200,,Thread Group 1-1,text,true,,1827,2846,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=aduana,22,0,0
1759265447843,71,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/declaracion-carga/2638?escalaId=2638,200,OK,Thread Group 1-1,text,true,,1011,2861,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/declaracion-carga/2638?escalaId=2638,71,0,0
1759265447916,75,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/2638?documentoId=64,200,OK,Thread Group 1-1,text,true,,1454,2845,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/2638?documentoId=64,75,0,0
1759265447994,103,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/tramites/escala/2638/documento/64?indicadorES=S,200,OK,Thread Group 1-1,text,true,,1522,2946,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/tramites/escala/2638/documento/64?indicadorES=S,103,0,0
1759265448099,199,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/solicitud-despacho/2638?escalaId=2638,200,OK,Thread Group 1-1,text,true,,7163,2996,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/solicitud-despacho/2638?escalaId=2638,199,0,0
1759265448300,50,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/tipoServicio/2638,200,OK,Thread Group 1-1,text,true,,944,2984,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/tipoServicio/2638,50,0,0
1759265448351,41,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=PARAMETROS_GENERALES,200,,Thread Group 1-1,text,true,,1060,2997,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/findByCode?codigo=PARAMETROS_GENERALES,41,0,0
1759265448393,28,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/documentos?descripcionAcronimo=DGZ,200,,Thread Group 1-1,text,true,,926,2986,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/documentos?descripcionAcronimo=DGZ,28,0,0
1759265448422,19,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndAttribute?code=actividadEntidadPuerto&actividad_id=5&cod_puerto_nacional=%27CLL%27,200,,Thread Group 1-1,text,true,,837,3053,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndAttribute?actividad_id=5&code=actividadEntidadPuerto&cod_puerto_nacional=%27CLL%27,19,0,0
1759265448442,81,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/pagos/escala/2638/detalles_zarpe/17,200,OK,Thread Group 1-1,text,true,,1059,2982,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/pagos/escala/2638/detalles_zarpe/17,81,0,0
1759265448524,56,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?entidadId=0&actividadId=5&codPuertoNacional=CLL,200,OK,Thread Group 1-1,text,true,,1044,3021,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?codPuertoNacional=CLL&entidadId=0&actividadId=5,56,0,0
1759265448581,1781,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago,201,Created,Thread Group 1-1,text,true,,1174,3236,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago,1781,0,0
1759265450364,60,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/formas-pago?canalId=1&entidadId=1,200,OK,Thread Group 1-1,text,true,,4567,2980,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/formas-pago?entidadId=1&canalId=1,60,0,0
1759265450425,57,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?entidadId=17&actividadId=4&codPuertoNacional=CLL,200,OK,Thread Group 1-1,text,true,,1045,3022,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?codPuertoNacional=CLL&entidadId=17&actividadId=4,57,0,0
1759265450484,151,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/tasas?entidadId=17&idComponente=CPN&textSearch=RN02,200,OK,Thread Group 1-1,text,true,,1191,2998,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/tasas?textSearch=RN02&idComponente=CPN&entidadId=17,151,0,0
1759265450637,76,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/ordenes-pago/2638?documentId=64&rucAgente=20100010136,200,OK,Thread Group 1-1,text,true,,2129,3019,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/ordenes-pago/2638?rucAgente=20100010136&documentId=64,76,0,0
1759265450716,57,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/2638?documentoId=93,200,OK,Thread Group 1-1,text,true,,17361,2979,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/2638?documentoId=93,55,0,0
1759265450775,105,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/tramites/escala/2638/documento/93?indicadorES=S,200,OK,Thread Group 1-1,text,true,,11252,3013,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/tramites/escala/2638/documento/93?indicadorES=S,105,0,20
1759265450881,76,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/patente-sanitaria/2638,200,OK,Thread Group 1-1,text,true,,1792,2981,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/patente-sanitaria/2638,76,0,0
1759265450960,30,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/documentos?descripcionAcronimo=SPS,200,,Thread Group 1-1,text,true,,897,2986,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/documentos?descripcionAcronimo=SPS,29,0,0
1759265450990,60,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/pagos/escala/2638/detalles-patente/1,200,OK,Thread Group 1-1,text,true,,1059,2983,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/pagos/escala/2638/detalles-patente/1,60,0,0
1759265451051,102,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada?escalaId=2638&estado=S&documentId=93&estadoDdjjPago=A&rucAgente=20100010136,200,OK,Thread Group 1-1,text,true,,1218,3060,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada?escalaId=2638&rucAgente=20100010136&estado=S&estadoDdjjPago=A&documentId=93,102,0,0
1759265451156,79,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/ordenes-pago/2638?documentId=93&rucAgente=20100010136,200,OK,Thread Group 1-1,text,true,,49633,3019,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/ordenes-pago/2638?rucAgente=20100010136&documentId=93,71,0,0
