timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758166032215,51,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21799,2348,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,48,0,18
1758166032266,29,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2586,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,29,0,0
1758166032295,824,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?callSign=&matricula=&nombreNave=&imo=&estadoDueId=1,9,10,11&convoy=no&puertoEscalaId=CLL&ruc=20100010136",200,OK,Thread Group 1-1,text,true,,1459696,2681,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?nombreNave=&convoy=no&ruc=20100010136&estadoDueId=1%2C9%2C10%2C11&matricula=&imo=&puertoEscalaId=CLL&callSign=,738,0,0
1758166033120,53,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/3193?estadoDueId=4,5,6",200,OK,Thread Group 1-1,text,true,,4072,2664,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/3193?estadoDueId=4%2C5%2C6,53,0,0
1758166033174,15,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=SANTA%20m&page=0&size=10,200,,Thread Group 1-1,text,true,,2218,2694,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=SANTA+m&page=0,15,0,0
1758166033189,72,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/buscarByFichaTecnicaId/2967,200,OK,Thread Group 1-1,text,true,,4358,2649,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/buscarByFichaTecnicaId/2967,72,0,0
1758166033363,45,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=3193,200,OK,Thread Group 1-1,text,true,,928,2731,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=3193,45,0,0
1758166033409,54,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,201,Created,Thread Group 1-1,text,true,,1694,3750,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,54,0,0
1758166033463,144,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,1696,4051,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,144,0,0
1758166033608,324,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/buzon/1.0/notificaciones,200,,Thread Group 1-1,text,true,,672,3184,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/buzon/1.0/notificaciones,324,0,0
