timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759283287786,141,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,200,,Thread Group 1-1,text,true,,21783,2348,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=terminal,135,0,66
1759283287934,32,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,200,,Thread Group 1-1,text,true,,913,2586,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTraficodue,32,0,0
1759283287967,310,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?callSign=&matricula=&nombreNave=MIRIAM%20MC20&imo=&estadoDueId=1,9,10,11&convoy=no&puertoEscalaId=YMS&ruc=20100010136",200,OK,Thread Group 1-1,text,true,,1040,2692,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?nombreNave=MIRIAM+MC20&convoy=no&ruc=20100010136&estadoDueId=1%2C9%2C10%2C11&matricula=&imo=&puertoEscalaId=YMS&callSign=,310,0,0
1759283288279,48,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/1982?estadoDueId=4,5,6",200,OK,Thread Group 1-1,text,true,,945,2664,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves/1982?estadoDueId=4%2C5%2C6,48,0,0
1759283288328,28,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=i&page=0&size=10,200,,Thread Group 1-1,text,true,,1964,2688,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=i&page=0,28,0,0
1759283288357,24,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=Iq&page=0&size=10,200,,Thread Group 1-1,text,true,,2041,2689,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=Iq&page=0,24,0,0
1759283288382,34,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=IQu&page=0&size=10,200,,Thread Group 1-1,text,true,,2076,2690,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=IQu&page=0,34,0,0
1759283288417,30,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=IQUi&page=0&size=10,200,,Thread Group 1-1,text,true,,1541,2691,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=IQUi&page=0,30,0,0
1759283288448,45,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=PUc&page=0&size=10,200,,Thread Group 1-1,text,true,,1123,2690,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=PUc&page=0,45,0,0
1759283288494,27,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&description=PUCa&page=0&size=10,200,,Thread Group 1-1,text,true,,860,2691,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCodeAndDescription?code=puerto&size=10&description=PUCa&page=0,27,0,0
1759283288522,57,"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?callSign=&matricula=&nombreNave=PRUEBA100&imo=&estadoDueId=1,9,10,11&convoy=si&puertoEscalaId=YMS&ruc=20100010136",200,OK,Thread Group 1-1,text,true,,943,2757,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/naves?nombreNave=PRUEBA100&convoy=si&ruc=20100010136&estadoDueId=1%2C9%2C10%2C11&matricula=&imo=&puertoEscalaId=YMS&callSign=,57,0,0
1759283288580,74,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,201,Created,Thread Group 1-1,text,true,,1710,3877,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-command/1.0/escalas/validar-form-escala,74,0,0
1759283288655,416,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,200,OK,Thread Group 1-1,text,true,,6639,4161,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,416,0,0
