timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759328702732,313,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,200,,Thread Group 1-1,text,true,,138032,2321,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,104,0,62
1759328703046,147,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/ficha-tecnica?numberpage=1&sizepage=25&perfil=F,200,OK,Thread Group 1-1,text,true,,88569,2606,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/ficha-tecnica?numberpage=1&sizepage=25&perfil=F,145,0,0
1759328703194,34,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoFicTec,200,,Thread Group 1-1,text,true,,1518,2655,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoFicTec,34,0,0
1759328703228,36,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=pais,200,,Thread Group 1-1,text,true,,28843,2714,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=pais,34,0,0
1759328703264,28,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTrafico,200,,Thread Group 1-1,text,true,,1108,2721,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoTrafico,28,0,0
1759328703292,36,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=materialCasco,200,,Thread Group 1-1,text,true,,1339,2723,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=materialCasco,36,0,0
1759328703328,71,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documento?numberpage=1&sizepage=5&idFichaTecnicaDet=4310,200,OK,Thread Group 1-1,text,true,,924,2749,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documento?numberpage=1&idFichaTecnicaDet=4310&sizepage=5,71,0,0
1759328703400,82,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=4310,200,OK,Thread Group 1-1,text,true,,928,2735,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/documentos/vencidos?idFichaTecnicaDet=4310,82,0,0
1759328703482,188,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-command/1.0/camunda/fichas-tecnicas/3848/detalle/4310,200,OK,Thread Group 1-1,text,true,,1010,3890,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-command/1.0/camunda/fichas-tecnicas/3848/detalle/4310,188,0,0
1759328703670,1099,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/ficha-tecnica?numberpage=1&sizepage=25&perfil=F,200,OK,Thread Group 1-1,text,true,,88479,2807,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/fichatecnica-query/1.0/ficha-tecnica?numberpage=1&sizepage=25&perfil=F,1097,0,0
1759328704771,38,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoFicTec,200,,Thread Group 1-1,text,true,,1421,2789,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=estadoFicTec,38,0,0
1759328704810,31,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=pais,200,,Thread Group 1-1,text,true,,28835,2781,1,1,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=pais,31,0,0
