imo;matricula;documentInstance;document;versionFt;estadoVersionFt;estadoFictecId;materialCascoId;paisId;tipoNaveId;tipoTraficoId;armadorId;navieraId;puertoMatriculaId;fechaMatricula;nombreNave;callSign;inmarsat;mmsi;sociedadClasificadora;dicapi;constructorInfoNave;anoConstructor;tonelajePesoMuerto;velocidad;eslora;manga;puntal;arqueoNeto;arqueoBruto;caladoMinimo;caladoMaximo;dobleCaso;comentario;rucUsuario;tipoSeguimientoId;rol;razonSocialUsuario;operation;usunameRegAud;usunameModAud;ficha_tecnica_id;ficha_tecnica_det_id
null;CO-42280-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA001;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3808;4112
null;SE-84292-BF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA002;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3807;4111
null;SY-14474-DM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA003;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3806;4110
null;SE-43025-AL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA004;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3805;4109
null;IO-77227-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA005;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3804;4108
null;PU-95899-SM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA006;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3803;4107
null;PS-48177-AM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA007;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3802;4106
null;PL-80765-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA008;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3801;4105
null;PA-90867-ML;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA009;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3800;4104
null;MO-53849-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA010;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3799;4103
