timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760050650706,172,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-3,text,true,,4905,2101,5,5,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,172,0,112
1760050650669,211,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-1,text,true,,4905,2101,5,5,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,211,0,149
1760050650669,209,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-2,text,true,,4905,2101,5,5,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,209,0,149
1760050650768,128,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-4,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,128,0,88
1760050650831,129,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-5,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,129,0,86
1760050650896,150,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-6,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,150,0,98
1760050650959,153,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-7,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,153,0,114
1760050651021,115,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-8,text,true,,4905,2101,2,2,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,114,0,76
1760050651085,128,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-9,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,128,0,91
1760050651147,130,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-10,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,130,0,85
1760050651210,140,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-11,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,140,0,107
1760050651272,194,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-12,text,true,,4905,2101,4,4,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,194,0,116
1760050651336,150,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-13,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,150,0,100
1760050651400,171,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-14,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,171,0,104
1760050651461,174,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-15,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,174,0,118
1760050651524,153,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-16,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,153,0,102
1760050651586,160,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-17,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,160,0,111
1760050651649,129,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-18,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,129,0,79
1760050651711,126,Maestro de Tipos de Naves -2025,200,,S062-466-2025 1-19,text,true,,4905,2101,2,2,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,126,0,77
