timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760133787801,120,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-1,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,120,0,84
1760133787845,115,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-2,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,115,0,70
1760133787888,105,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-3,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,105,0,71
1760133787931,101,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-4,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,101,0,66
1760133787973,88,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-5,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,88,0,59
1760133788016,110,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-6,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,110,0,69
1760133788059,113,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-7,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,113,0,82
1760133788102,105,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-8,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,105,0,70
1760133788145,101,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-9,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,101,0,68
1760133788188,100,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-10,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,100,0,65
1760133788231,97,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-11,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,97,0,65
1760133788276,93,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-12,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,93,0,65
1760133788318,126,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-13,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,126,0,72
1760133788361,104,Maestro de Tipos de Naves - 2029,200,,S062-466-2029 1-14,text,true,,4905,2101,3,3,https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/comunes-query/1.0/master/allByCode?code=tipoNave,104,0,72
