Evolucion de tramites de mercancias restringidas en VUCE
Año;Entidad;Unidad de Medida;Valor
2010;SENASA;Número de trámites;0
2010;MTC;Número de trámites;578
2010;MINCETUR - MR;Número de trámites;0
2010;SANIPES;Número de trámites;0
2010;DIGESA;Número de trámites;28
2010;DIGEMID;Número de trámites;0
2010;SUCAMEC;Número de trámites;0
2010;PRODUCE;Número de trámites;3
2010;SERFOR;Número de trámites;0
2010;IPEN;Número de trámites;0
2010;MINEM;Número de trámites;0
2010;AGP;Número de trámites;0
2010;MINAGRI;Número de trámites;0
2010;MINAM;Número de trámites;0
2011;SENASA;Número de trámites;6,830
2011;MTC;Número de trámites;24,592
2011;MINCETUR - MR;Número de trámites;0
2011;SANIPES;Número de trámites;9,495
2011;DIGESA;Número de trámites;6,161
2011;DIGEMID;Número de trámites;34
2011;SUCAMEC;Número de trámites;0
2011;PRODUCE;Número de trámites;254
2011;SERFOR;Número de trámites;0
2011;IPEN;Número de trámites;0
2011;MINEM;Número de trámites;0
2011;AGP;Número de trámites;0
2011;MINAGRI;Número de trámites;0
2011;MINAM;Número de trámites;0
2012;SENASA;Número de trámites;15,774
2012;MTC;Número de trámites;32,071
2012;MINCETUR - MR;Número de trámites;0
2012;SANIPES;Número de trámites;31,120
2012;DIGESA;Número de trámites;21,323
2012;DIGEMID;Número de trámites;25
2012;SUCAMEC;Número de trámites;0
2012;PRODUCE;Número de trámites;501
2012;SERFOR;Número de trámites;0
2012;IPEN;Número de trámites;0
2012;MINEM;Número de trámites;0
2012;AGP;Número de trámites;0
2012;MINAGRI;Número de trámites;0
2012;MINAM;Número de trámites;0
2013;SENASA;Número de trámites;22,594
2013;MTC;Número de trámites;35,188
2013;MINCETUR - MR;Número de trámites;0
2013;SANIPES;Número de trámites;32,995
2013;DIGESA;Número de trámites;30,125
2013;DIGEMID;Número de trámites;5,770
2013;SUCAMEC;Número de trámites;0
2013;PRODUCE;Número de trámites;64
2013;SERFOR;Número de trámites;0
2013;IPEN;Número de trámites;0
2013;MINEM;Número de trámites;0
2013;AGP;Número de trámites;0
2013;MINAGRI;Número de trámites;0
2013;MINAM;Número de trámites;0
2014;SENASA;Número de trámites;33,031
2014;MTC;Número de trámites;37,451
2014;MINCETUR - MR;Número de trámites;45
2014;SANIPES;Número de trámites;34,032
2014;DIGESA;Número de trámites;36,346
2014;DIGEMID;Número de trámites;25,613
2014;SUCAMEC;Número de trámites;109
2014;PRODUCE;Número de trámites;109
2014;SERFOR;Número de trámites;486
2014;IPEN;Número de trámites;13
2014;MINEM;Número de trámites;0
2014;AGP;Número de trámites;0
2014;MINAGRI;Número de trámites;0
2014;MINAM;Número de trámites;0
2015;SENASA;Número de trámites;115,612
2015;MTC;Número de trámites;37,278
2015;MINCETUR - MR;Número de trámites;167
2015;SANIPES;Número de trámites;32,714
2015;DIGESA;Número de trámites;37,909
2015;DIGEMID;Número de trámites;29,612
2015;SUCAMEC;Número de trámites;1,511
2015;PRODUCE;Número de trámites;2,218
2015;SERFOR;Número de trámites;1,501
2015;IPEN;Número de trámites;26
2015;MINEM;Número de trámites;0
2015;AGP;Número de trámites;0
2015;MINAGRI;Número de trámites;0
2015;MINAM;Número de trámites;0
2016;SENASA;Número de trámites;149,062
2016;MTC;Número de trámites;28,825
2016;MINCETUR - MR;Número de trámites;61
2016;SANIPES;Número de trámites;27,168
2016;DIGESA;Número de trámites;38,024
2016;DIGEMID;Número de trámites;28,535
2016;SUCAMEC;Número de trámites;2,903
2016;PRODUCE;Número de trámites;2,447
2016;SERFOR;Número de trámites;655
2016;IPEN;Número de trámites;397
2016;MINEM;Número de trámites;0
2016;AGP;Número de trámites;0
2016;MINAGRI;Número de trámites;0
2016;MINAM;Número de trámites;0
2017;SENASA;Número de trámites;167,890
2017;MTC;Número de trámites;21,728
2017;MINCETUR - MR;Número de trámites;1,067
2017;SANIPES;Número de trámites;32,115
2017;DIGESA;Número de trámites;40,425
2017;DIGEMID;Número de trámites;30,874
2017;SUCAMEC;Número de trámites;2,971
2017;PRODUCE;Número de trámites;3,314
2017;SERFOR;Número de trámites;642
2017;IPEN;Número de trámites;743
2017;MINEM;Número de trámites;0
2017;AGP;Número de trámites;0
2017;MINAGRI;Número de trámites;0
2017;MINAM;Número de trámites;0
2018;SENASA;Número de trámites;193,095
2018;MTC;Número de trámites;22,000
2018;MINCETUR - MR;Número de trámites;1,169
2018;SANIPES;Número de trámites;33,988
2018;DIGESA;Número de trámites;45,208
2018;DIGEMID;Número de trámites;32,735
