Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,100,3076,0,8521,1148.38,0.000%,11.41292,9.13,23.84,819.1
OLCE/olce-wp/-759,100,8704,0,12715,2477.45,0.000%,6.00998,135.75,2.85,23129.0
OLCE/v4/fullHashes:find-761,100,372,0,644,122.38,0.000%,7.27061,4.15,4.81,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,100,342,0,619,73.76,0.000%,7.23170,5.79,18.88,820.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,100,6252,0,9686,1889.83,0.000%,5.29633,5.68,3.65,1099.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,100,5194,0,7284,837.73,0.000%,6.54236,6.14,4.50,960.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,100,5394,0,7866,936.01,0.000%,5.16876,5.01,3.56,992.5
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,100,8757,0,12284,1237.18,0.000%,4.35142,100.90,3.38,23744.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,100,6428,0,9625,1155.86,0.000%,4.87401,5.55,3.52,1167.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,100,5305,0,7376,710.43,0.000%,5.25845,5.59,3.80,1089.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,100,5259,0,8820,787.69,0.000%,4.68955,5.67,3.39,1237.8
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,100,7844,0,10199,1215.79,0.000%,4.03796,89.06,3.44,22585.2
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,100,148,0,513,119.58,0.000%,5.54385,23.79,4.56,4394.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,100,5442,0,6808,721.74,0.000%,4.95270,5.29,4.10,1093.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,100,5223,0,6761,652.21,0.000%,5.06355,4.25,4.19,859.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,100,5072,0,6598,645.62,0.000%,5.09243,5.41,4.22,1087.1
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-775,100,465,0,1295,300.43,0.000%,6.51933,9.19,4.51,1444.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-776,100,206,0,622,120.66,0.000%,6.58285,7.75,18.40,1206.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-777,100,189,0,507,136.73,0.000%,6.59761,8.96,6.04,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-778,100,228,0,634,142.68,0.000%,6.60589,7.00,18.90,1085.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-779,100,262,0,1253,171.38,0.000%,6.58371,89.39,18.87,13903.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-780,100,183,0,677,121.40,0.000%,6.56297,8.91,6.01,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-781,100,217,0,585,116.68,0.000%,6.50111,88.26,18.63,13902.1
OLCE/olce-wp/wp-json/olcerest/v2/indicador-782,100,5173,0,7263,867.38,0.000%,4.76963,9.70,3.74,2082.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-783,100,147,0,553,128.38,0.000%,6.67646,9.06,6.08,1389.0
