Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,50,378,0,497,38.62,0.000%,.08497,0.07,0.18,838.4
OLCE/olce-wp/-759,50,282,0,346,20.30,0.000%,.08499,1.91,0.04,23005.6
OLCE/v4/fullHashes:find-761,50,155,0,168,4.15,0.000%,.08502,0.05,0.06,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,50,262,0,326,34.16,0.000%,.08500,0.07,0.22,829.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,50,136,0,181,17.29,0.000%,.08502,0.08,0.06,959.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,50,132,0,170,17.35,0.000%,.08502,0.07,0.06,789.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,50,130,0,298,29.41,0.000%,.08502,0.06,0.06,708.0
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,50,246,0,358,33.13,0.000%,.08501,1.96,0.07,23581.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,50,127,0,174,15.49,0.000%,.08503,0.07,0.06,860.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,50,127,0,159,12.22,0.000%,.08504,0.08,0.06,973.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,50,127,0,165,13.03,0.000%,.08504,0.08,0.06,1016.2
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,50,222,0,270,19.36,0.000%,.08503,1.87,0.07,22496.1
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,50,19,0,29,2.33,0.000%,.08506,0.34,0.07,4085.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,50,132,0,177,16.14,0.000%,.08505,0.07,0.07,790.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,50,132,0,186,16.63,0.000%,.08504,0.06,0.07,708.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,50,127,0,163,10.15,0.000%,.08505,0.07,0.07,792.4
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-775,50,366,0,15088,2103.04,0.000%,.08506,0.12,0.06,1444.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-776,50,63,0,126,18.33,0.000%,.08506,0.10,0.24,1206.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-777,50,26,0,47,5.13,0.000%,.08507,0.12,0.08,1389.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-778,50,62,0,146,17.46,0.000%,.08507,0.09,0.24,1084.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-779,50,65,0,115,13.51,0.000%,.08508,1.16,0.24,13902.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-780,50,26,0,45,5.41,0.000%,.08509,0.12,0.08,1390.0
