Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,100,1452,252,11403,3009.85,0.000%,.16826,0.13,0.35,819.9
OLCE/olce-wp/-759,100,494,216,9396,961.06,0.000%,.17138,3.87,0.08,23128.8
OLCE/v4/fullHashes:find-761,100,124,111,210,14.12,0.000%,.17146,0.10,0.11,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,100,232,188,327,20.65,0.000%,.17144,0.14,0.45,834.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,100,171,93,493,83.08,0.000%,.17141,0.16,0.12,969.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,100,160,99,436,70.82,0.000%,.17139,0.17,0.12,1001.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,100,152,101,376,59.03,0.000%,.17137,0.15,0.12,907.5
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,100,356,182,2298,275.21,0.000%,.17125,3.97,0.13,23714.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,100,154,100,480,69.25,0.000%,.17127,0.17,0.12,1022.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,100,152,94,476,72.08,0.000%,.17127,0.18,0.12,1092.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,100,157,98,404,74.21,0.000%,.17120,0.19,0.12,1110.2
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,100,283,170,895,134.30,0.000%,.17115,3.78,0.15,22587.0
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,100,15,12,34,3.73,0.000%,.17122,0.72,0.14,4305.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,100,147,99,321,41.86,0.000%,.17115,0.16,0.14,950.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,100,164,97,1115,110.54,0.000%,.17113,0.15,0.14,868.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,100,152,90,361,53.36,0.000%,.17109,0.16,0.14,942.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-775,100,44,36,85,7.60,0.000%,.17111,0.24,0.12,1444.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-776,100,39,25,121,11.82,0.000%,.17112,0.20,0.48,1206.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-777,100,21,15,94,8.68,0.000%,.17112,0.23,0.16,1389.8
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-778,100,41,26,89,13.20,0.000%,.17112,0.18,0.49,1085.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-779,100,42,30,81,8.56,0.000%,.17112,2.32,0.49,13902.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-780,100,21,14,53,6.75,0.000%,.17114,0.23,0.16,1390.0
