Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/canonical.html-6,400,394,148,7216,472.71,0.000%,46.22140,13.44,14.62,297.7
/-3,400,405,89,3251,524.65,0.000%,46.49000,11.76,22.79,258.9
/-5,400,108,46,471,78.11,0.000%,47.27574,12.27,23.18,265.7
/-4,400,112,47,472,93.81,0.000%,47.27015,12.26,23.17,265.6
/-1,400,109,45,437,86.86,0.000%,47.16981,12.24,23.12,265.6
/-2,400,112,43,539,97.29,0.000%,47.23108,12.25,23.15,265.7
/success.txt-7,400,133,77,485,80.65,0.000%,47.00905,9.90,14.97,215.7
/success.txt-8,400,127,77,505,60.52,0.000%,46.51163,9.80,14.81,215.7
/-9,400,2908,263,7614,947.99,100.000%,46.32847,21.17,27.87,468.0
/vuce-zee-api-autorizacion/login/-10,400,4818,361,39874,4867.05,0.000%,10.01753,44.03,5.63,4501.0
/vuce-zee-menu/assets/images/logo_vuce_footer_login.svg-13,400,1463,33,63209,4896.90,0.000%,6.11340,15.43,4.08,2584.8
/vuce-zee-menu/assets/images/logo_vuce_header_login.svg-16,398,4953,324,63549,6238.59,0.000%,5.05622,258.29,3.37,52309.8
/vuce-zee-menu/assets/images/logo_iso_9001.png-14,398,17675,552,2002833,141735.65,0.503%,.19849,13.07,0.13,67422.4
/vuce-zee-menu/assets/images/logo_mincetur_header_login.svg-15,392,36860,4572,1998061,173923.85,1.020%,.19579,45.22,0.13,236481.5
/submit/activity-stream/sessions/1/ef7b661c-0a86-4b6e-9b4f-1d0b6bb4fb6c-11,389,553,386,1655,263.76,0.000%,1.45951,1.18,2.30,827.2
/submit/firefox-desktop/baseline/1/5afc1661-06a5-48a6-a696-166033332ebc-12,388,302,227,1532,86.71,0.000%,1.45727,1.18,2.84,828.1
/submit/firefox-desktop/messaging-system/1/b7e0d931-d5f5-4c7a-bace-a8773a43be56-17,388,287,223,598,42.14,0.000%,1.45727,1.18,2.69,825.8
/submit/firefox-desktop/messaging-system/1/978416e4-1eaa-454e-8201-a78ba1633025-18,388,296,223,744,61.19,0.000%,1.45715,1.17,2.71,819.7
/submit/firefox-desktop/messaging-system/1/ed1772a1-dd8a-42c1-9741-387131a09196-19,388,298,228,1292,76.88,0.000%,1.45709,1.17,2.74,822.8
/submit/firefox-desktop/messaging-system/1/0e55a3fb-075f-4d79-9ece-2ff3b4585acc-20,388,347,230,17539,878.39,0.000%,1.45714,1.17,2.75,824.7
/vuce-zee-api-autorizacion/auth-21,382,4107,215,179032,10374.15,0.000%,1.32298,9.62,5.33,7442.3
/submit/firefox-desktop/newtab/1/c2ecc9d2-d96c-40be-85f9-31a37452c2c1-22,382,318,227,2668,177.27,0.000%,1.33719,1.08,2.87,826.9
/vuce-zee-mf/vuce-zee-root-config.js-24,380,3221,103,120583,7175.16,0.000%,1.33088,22.84,3.66,17576.0
/submit/firefox-desktop/use-counters/1/511d9581-2504-4da4-b236-c7dc60be8bc9-25,380,349,231,6165,354.86,0.000%,1.33590,1.07,2.44,823.2
/-27,380,333,225,1418,163.37,100.000%,1.33625,0.61,0.80,468.0
/vuce-zee-menu/main.js-26,173,796380,50859,1981391,795118.75,71.676%,.08711,29.47,0.07,346443.6
/submit/firefox-desktop/events/1/b2d68bc9-85fa-4ac1-bc43-64b7a8770bc2-28,119,930,231,2570,828.92,0.000%,.27781,0.22,0.63,817.2
/vuce-zee-menu/assets/images/user_face.jpg-29,119,3424,41,16506,3041.80,0.000%,.27737,1.59,0.77,5853.0
/vuce-zee-menu/assets/images/vuce-logotipo.svg-30,119,17718,124,1662345,151541.44,0.840%,.06706,2.81,0.18,42850.1
