Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/v1/tiles-383,100,385,350,442,21.31,0.000%,73.09942,19.56,18.70,274.0
/vuce-zee-api-autorizacion/login/-384,100,62,56,96,7.46,0.000%,97.08738,426.75,52.53,4501.0
/submit/activity-stream/sessions/1/580c036b-f58a-41be-9921-490665b23655-385,100,430,365,550,29.98,0.000%,67.93478,54.12,101.57,815.7
/submit/firefox-desktop/newtab/1/e6ae983b-c899-445e-9bd4-683855f4a2cc-387,100,212,168,253,19.50,0.000%,78.74016,62.76,182.47,816.1
/vuce-zee-api-autorizacion/auth-388,100,3238,188,5485,1561.20,0.000%,15.71833,112.82,62.72,7349.7
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3MDIzNTEsImlhdCI6MTcwNjY5ODc1MSwianRpIjoiYmY1OTgzMTItYWFhNS00YThmLTk3YTMtMWNlZTFhODMwYTJmIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImZiNDNiMzYxLThjYzItNDVjNy1hMmIyLTlkMTI4ZDcxMzE5NCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.MzI82Ej5GzrDDw6EfMRL-b2MZRUK7sO0wHfxNoCEm0CH8_kCvVjEZ7-8neRACSkdFGXevDPZZ241dubYlZGbOPNm5apNfA-7mSoPWSXQHdV8rKt1VKYPPZ-baSj7Zv0w8jL5M-ckhT4BqWBFWgPBX4eA6OPBFwhODeuGj4LlRlPZwXaPHUOBrYjV43XoMAS-1cWZVMFRZKOog9DndWoq80nRcLe_xNlzNaq5jvsx3Ru6HBkoFG-QZT5kTIOQ0bF-56HPtj7xaN9FTfrMistblTQi6lnBLO0zEVErM8iY_QII6wdnPLV8KW8xsH01f8p2BrQJCD-arZ7DQyvOJHRttg&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-390,100,931,68,2697,692.39,0.000%,11.37527,14.35,25.09,1292.0
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3MDIzNTEsImlhdCI6MTcwNjY5ODc1MSwianRpIjoiYmY1OTgzMTItYWFhNS00YThmLTk3YTMtMWNlZTFhODMwYTJmIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImZiNDNiMzYxLThjYzItNDVjNy1hMmIyLTlkMTI4ZDcxMzE5NCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.MzI82Ej5GzrDDw6EfMRL-b2MZRUK7sO0wHfxNoCEm0CH8_kCvVjEZ7-8neRACSkdFGXevDPZZ241dubYlZGbOPNm5apNfA-7mSoPWSXQHdV8rKt1VKYPPZ-baSj7Zv0w8jL5M-ckhT4BqWBFWgPBX4eA6OPBFwhODeuGj4LlRlPZwXaPHUOBrYjV43XoMAS-1cWZVMFRZKOog9DndWoq80nRcLe_xNlzNaq5jvsx3Ru6HBkoFG-QZT5kTIOQ0bF-56HPtj7xaN9FTfrMistblTQi6lnBLO0zEVErM8iY_QII6wdnPLV8KW8xsH01f8p2BrQJCD-arZ7DQyvOJHRttg&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-391,100,1233,126,3260,792.07,0.000%,8.49979,6.34,31.96,763.5
/vuce-zee-mf/-392,100,25,17,97,12.46,0.000%,8.54263,39.35,24.08,4716.8
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3MDIzNTEsImlhdCI6MTcwNjY5ODc1MSwianRpIjoiYmY1OTgzMTItYWFhNS00YThmLTk3YTMtMWNlZTFhODMwYTJmIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImZiNDNiMzYxLThjYzItNDVjNy1hMmIyLTlkMTI4ZDcxMzE5NCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.MzI82Ej5GzrDDw6EfMRL-b2MZRUK7sO0wHfxNoCEm0CH8_kCvVjEZ7-8neRACSkdFGXevDPZZ241dubYlZGbOPNm5apNfA-7mSoPWSXQHdV8rKt1VKYPPZ-baSj7Zv0w8jL5M-ckhT4BqWBFWgPBX4eA6OPBFwhODeuGj4LlRlPZwXaPHUOBrYjV43XoMAS-1cWZVMFRZKOog9DndWoq80nRcLe_xNlzNaq5jvsx3Ru6HBkoFG-QZT5kTIOQ0bF-56HPtj7xaN9FTfrMistblTQi6lnBLO0zEVErM8iY_QII6wdnPLV8KW8xsH01f8p2BrQJCD-arZ7DQyvOJHRttg&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-393,100,1354,174,3274,694.72,0.000%,7.46213,5.15,28.06,707.4
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3MDIzNTEsImlhdCI6MTcwNjY5ODc1MSwianRpIjoiYmY1OTgzMTItYWFhNS00YThmLTk3YTMtMWNlZTFhODMwYTJmIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImZiNDNiMzYxLThjYzItNDVjNy1hMmIyLTlkMTI4ZDcxMzE5NCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.MzI82Ej5GzrDDw6EfMRL-b2MZRUK7sO0wHfxNoCEm0CH8_kCvVjEZ7-8neRACSkdFGXevDPZZ241dubYlZGbOPNm5apNfA-7mSoPWSXQHdV8rKt1VKYPPZ-baSj7Zv0w8jL5M-ckhT4BqWBFWgPBX4eA6OPBFwhODeuGj4LlRlPZwXaPHUOBrYjV43XoMAS-1cWZVMFRZKOog9DndWoq80nRcLe_xNlzNaq5jvsx3Ru6HBkoFG-QZT5kTIOQ0bF-56HPtj7xaN9FTfrMistblTQi6lnBLO0zEVErM8iY_QII6wdnPLV8KW8xsH01f8p2BrQJCD-arZ7DQyvOJHRttg&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-394,100,1316,52,2702,657.72,0.000%,6.32071,7.23,14.36,1171.0
