Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,450,374,0,794,74.17,0.000%,290.88559,234.21,607.62,824.5
OLCE/olce-wp/-759,450,29402,0,60368,14813.98,0.000%,7.37765,166.64,3.49,23128.9
OLCE/v4/fullHashes:find-761,450,18464,0,22215,6699.39,0.000%,6.19383,3.53,4.09,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,304,243,0,466,23.96,0.000%,5.33483,4.29,13.93,823.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,419,23200,0,65300,11209.68,0.000%,3.15137,3.38,2.17,1099.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,435,21725,0,52400,9983.43,0.000%,3.20081,3.08,2.20,984.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,450,23314,0,58302,9008.14,0.000%,3.01156,2.84,2.07,965.9
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,450,29092,0,48228,6319.18,0.000%,2.77146,64.32,2.15,23766.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,450,29006,0,55979,4425.85,0.000%,2.62614,2.97,1.90,1158.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,450,29100,0,57788,4562.23,0.000%,2.53041,2.67,1.83,1078.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,450,29048,0,55938,3987.16,0.000%,2.40264,2.89,1.74,1232.2
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,450,30233,0,57017,4258.52,0.000%,2.36547,52.13,2.01,22567.1
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,450,42,0,88,19.27,0.000%,2.80652,12.07,2.31,4403.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,450,27459,0,59048,4956.69,0.000%,2.24002,2.42,1.86,1106.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,450,26560,0,51887,5328.45,0.000%,2.23626,1.88,1.85,861.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,450,25130,0,54863,5227.00,0.000%,2.24355,2.41,1.86,1101.6
