Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero?numeroDocumentoSecundario=&tipoDocumentoSecundario=2&numeroAutenticado=20506601330&idpLogin=AUTHSUNAT&usuarioSol=DCC25301&componente=MR-825;150;552;0;1002;262.49;0.00%;89.92806;114.78;70.08;1307
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038284&cacheable=true-826;150;739;0;1853;389.49;0.00%;45.44078;53.69;35.1;1210
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero-828;150;1455;0;3084;703;0.00%;28.95194;21.49;24.82;760
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec-827;150;6281;0;11595;2012.11;87.33%;9.77326;8.01;8.45;839.6
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=1&numeroDocumento=20506601330-829;150;1009;0;2145;589.27;0.00%;11.69408;15.17;10.35;1328
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe-830;150;1195;0;2845;624.91;0.00%;11.18902;7.69;9.79;704
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHSUNAT&usuario=DCC25301&tipoDocumento=1&numeroDocumento=20506601330-831;150;1147;0;2204;567.34;0.00%;10.72424;13.91;9.87;1328
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy-832;150;1207;0;2398;505.56;0.00%;9.98403;14.1;9.09;1446
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-836;150;1136;0;2128;492.05;0.00%;9.30348;11.94;8.08;1314
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-834;150;1071;0;1978;433.47;0.00%;8.72296;11.19;7.57;1314
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/catalogo/pais-835;150;1092;0;1987;404.01;0.00%;8.18956;10.51;6.93;1314
