Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
/vuce-zee-api-autorizacion/login/-24,700,87,0,1228,153.71,0.000%,1.19280,3.28,0.87,2814.0
/vuce-zee-api-autorizacion/auth-25,700,2838,0,17876,3749.93,0.000%,1.18978,6.80,4.62,5856.3
/vuce-zee-api/v1/login/token?token=&idkeycload=ed260e2b-d5f5-4217-915b-aada7e3021f2-27,700,97,0,1129,144.37,0.000%,1.19560,0.63,6.76,540.1
/vuce-zee-mf/-28,700,25,0,123,9.25,0.000%,1.19588,3.92,3.21,3354.1
/vuce-zee-api/v1/login/token?token=&idkeycload=ed260e2b-d5f5-4217-915b-aada7e3021f2-29,700,99,0,1059,171.11,0.000%,1.19587,0.64,6.76,545.4
/vuce-zee-api/v1/login/token?token=&idkeycload=ed260e2b-d5f5-4217-915b-aada7e3021f2-30,700,84,0,1080,149.29,0.000%,1.19740,0.65,4.32,553.1
/vuce-zee-api/v1/login/token?token=&idkeycload=ed260e2b-d5f5-4217-915b-aada7e3021f2-31,700,79,0,1094,133.76,0.000%,1.19805,0.65,4.33,552.2
/vuce-zee-api-configuracion/role/Usuario%20ZEE%20Demo-33,700,32,0,309,16.54,0.000%,1.19849,0.89,2.47,762.8
/vuce-zee-api/v1/personas/user-keycloack/ed260e2b-d5f5-4217-915b-aada7e3021f2-32,700,48,0,1050,42.79,0.000%,1.19847,1.01,2.49,865.5
/vuce-zee-api-contrato/v1/contratos/buscar-por-usuario-34,700,29,0,103,9.22,0.000%,1.19853,0.34,2.52,293.3
/vuce-zee-api/v1/personas/imagen/5d192cae-37d3-45e4-af7f-20361ac8db70-35,700,48,0,267,23.51,0.000%,1.19859,11.56,2.45,9876.2
/vuce-zee-api-configuracion/v1/mensajeria/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-37,700,30,0,1028,39.39,0.000%,1.19865,0.34,2.47,292.2
/vuce-zee-api-configuracion/v1/notificaciones/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-38,700,30,0,376,17.56,0.000%,1.19865,0.34,2.51,289.6
/vuce-zee-api-configuracion/tipos-usuarios-menu-roles/8b24c4aa-4432-e968-4d02-6d0a90f508af/c9d27f92-44f1-45e0-95c9-772b8482dba5-36,700,89,0,1106,55.93,0.000%,1.19854,46.42,2.55,39657.9
/v4/fullHashes:find-39,700,140,0,194,6.58,0.000%,1.19839,0.68,0.78,584.0
/vuce-zee-api-configuracion/v1/notificaciones/nuevanotificacion-41,700,30518,0,31029,288.87,0.000%,1.13852,0.43,0.77,382.4
/vuce-zee-api-configuracion/tipos-usuarios-menu-parametros-rol/parametros-49,600,84,0,1400,131.61,0.000%,1.22929,0.55,2.84,460.3
/vuce-zee-api-configuracion/v1/notificaciones/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-48,600,34,0,275,20.57,0.000%,1.22928,0.34,2.70,285.0
/vuce-zee-api-configuracion/v1/mensajeria/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-47,600,34,0,392,31.90,0.000%,1.22942,0.34,2.65,283.0
/v4/fullHashes:find-54,600,56,0,79,5.78,0.000%,1.22938,0.70,0.80,584.0
/vuce-zee-api/v1/maestros/find_by_prefix-51,600,36,0,1038,44.59,0.000%,1.22937,0.99,2.65,821.4
/vuce-zee-api-ingreso/v1/anuncio-llegadas/buscar-anuncio-llegadas-53,600,64,0,200,27.12,0.000%,1.22932,16.52,2.93,13758.5
/vuce-zee-api/v1/maestros/find_by_prefix_and_correlatives-50,600,34,0,136,19.03,0.000%,1.22938,1.19,2.68,990.4
/vuce-zee-api/v1/maestros/find_by_prefix_and_correlatives-52,600,32,0,267,16.80,0.000%,1.22938,1.20,2.68,998.2
/ajax/libs/font-awesome/5.5.0/webfonts/fa-solid-900.woff2-56,600,128,0,314,63.69,0.000%,1.22900,89.84,0.64,74857.0
/vuce-zee-api-ingreso/v1/anuncio-llegadas/buscar-anuncio-llegadas-58,600,37,0,226,19.70,0.000%,1.22929,1.58,2.95,1318.0
/vuce-zee-api-configuracion/v1/notificaciones/nuevanotificacion-55,600,30467,0,31025,120.65,0.000%,1.15723,0.40,0.78,354.4
/vuce-zee-api-configuracion/v1/mensajeria/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-59,600,79,0,1101,105.09,0.000%,1.22677,0.52,2.65,436.6
/vuce-zee-api-configuracion/v1/notificaciones/noleidos/5d192cae-37d3-45e4-af7f-20361ac8db70-60,600,35,0,371,29.51,0.000%,1.22690,0.34,2.69,284.9
/vuce-zee-api-autorizacion/login/-62,600,29,0,206,17.04,0.000%,1.22691,3.17,0.92,2645.2
/vuce-zee-api-configuracion/v1/notificaciones/nuevanotificacion-61,600,30864,0,30933,70.44,0.000%,1.15415,0.38,0.78,339.1
Total,20200,3030,0,31029,8929.76,0.000%,32.58937,167.17,71.87,5252.6
