Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,200,368,0,475,35.95,0.000%,143.16392,115.71,299.05,827.6
OLCE/olce-wp/-759,200,13463,0,24104,6044.62,0.000%,7.94628,178.52,3.76,23005.6
OLCE/v4/fullHashes:find-761,200,154,0,174,3.78,0.000%,8.54409,4.87,5.65,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,200,265,0,378,36.48,0.000%,8.48536,6.80,22.15,821.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,200,14461,0,21104,3344.88,0.000%,5.96356,5.58,4.11,958.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,200,10348,0,12733,751.48,0.000%,8.18498,6.35,5.64,794.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,200,10340,0,12913,945.31,0.000%,7.27908,6.21,5.01,873.8
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,200,15571,0,21035,2621.41,0.000%,5.57367,128.41,4.33,23592.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,200,14166,0,18935,2339.31,0.000%,5.59143,5.61,4.04,1027.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,200,10890,0,13166,991.79,0.000%,6.49056,5.97,4.69,942.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,200,10738,0,14282,1024.50,0.000%,5.90912,6.37,4.27,1104.6
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,200,15271,0,21216,2183.14,0.000%,5.03398,110.35,4.29,22446.9
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,200,24,0,100,9.07,0.000%,6.96621,28.95,5.73,4255.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,200,10840,0,14207,947.64,0.000%,5.41594,5.05,4.49,955.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,200,10527,0,14357,858.01,0.000%,6.11920,4.29,5.07,717.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,200,9952,0,12657,954.28,0.000%,6.88255,6.38,5.70,949.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-775,200,908,0,3271,822.56,0.000%,10.56580,14.90,7.31,1444.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-776,200,1151,0,3994,957.85,0.000%,9.49893,11.19,26.55,1206.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-777,200,948,0,3832,984.53,0.000%,8.79082,11.93,8.05,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-778,200,1218,0,4543,1081.54,0.000%,8.37346,8.87,23.95,1085.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-779,200,1088,0,4777,1000.29,0.000%,8.20008,111.33,23.50,13902.8
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-780,200,1011,0,3689,989.07,0.000%,8.14564,11.06,7.46,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-781,200,1087,0,4084,982.21,0.000%,8.12051,110.25,23.28,13902.0
OLCE/olce-wp/wp-json/olcerest/v2/indicador-782,200,7846,0,13597,2460.03,0.000%,5.28569,10.01,4.14,1938.3
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-783,200,699,0,3804,960.91,0.000%,7.03136,9.54,6.40,1389.0
OLCE/olce-wp/categoria-indicador/medio-ambiente-784,200,21793,0,31273,6392.22,0.000%,3.40524,81.40,6.24,24478.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-787,200,12550,0,16864,1773.35,0.000%,3.24296,3.04,2.56,959.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-786,200,12431,0,16595,1339.23,0.000%,3.01768,2.10,2.38,712.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-788,200,12345,0,15551,1238.43,0.000%,3.01941,2.82,2.38,955.8
OLCE/olce-wp/indicador/empresas-que-miden-su-huella-de-carbono-del-sector-logistica/-789,200,14085,0,17024,1308.74,0.000%,3.01727,65.70,2.75,22295.9
OLCE/vuce-olce-ui/indicador-nacional/5.2-791,200,40,0,256,28.20,0.000%,3.87612,16.09,3.42,4251.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-792,200,12364,0,15795,1379.64,0.000%,3.22269,2.71,2.65,861.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-793,200,10720,0,15002,1628.54,0.000%,3.31285,3.06,2.73,944.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-794,200,10130,0,14814,1087.08,0.000%,3.52224,3.80,2.90,1103.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-795,159,872,0,15087,2035.80,0.000%,3.44813,4.68,3.14,1388.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-796,175,549,0,15255,2359.76,0.000%,2.24454,3.02,6.42,1376.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.2-797,183,73,0,3128,274.15,0.000%,2.13678,2.90,1.96,1389.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-798,186,255,0,15245,1346.48,0.000%,1.63911,2.20,4.69,1376.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.2-799,187,125,0,7281,526.34,0.000%,1.64795,22.37,4.72,13899.2
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.2-800,193,244,0,15120,1568.28,0.000%,1.23090,1.67,1.13,1389.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.2-801,197,203,0,15247,1193.10,0.000%,1.11856,15.18,3.21,13898.7
OLCE/v1/tiles-803,165,1443,0,15430,2908.66,0.000%,.83675,0.11,0.23,138.0
OLCE/spocs-802,150,1214,0,15381,2470.19,0.000%,.73584,0.97,0.38,1352.0
OLCE/success.txt-804,200,6489,0,21187,9241.54,0.000%,.89170,0.19,0.28,216.0
OLCE/canonical.html-806,200,54,0,101,6.44,0.000%,.89197,0.26,0.28,298.0
OLCE/success.txt-805,200,53,0,77,4.72,0.000%,.89198,0.19,0.28,216.0
OLCE/success.txt-807,200,53,0,144,8.75,0.000%,.89197,0.19,0.28,216.0
OLCE/success.txt-808,200,53,0,91,5.27,0.000%,.89196,0.19,0.28,216.0
OLCE/olce-wp/wp-json/olcerest/v2/indicador-809,155,9372,0,19679,2487.53,0.000%,.66063,1.25,0.52,1942.0
OLCE/olce-wp/categoria-indicador/medio-ambiente-811,161,16992,0,25702,4822.18,0.000%,.64504,15.42,1.18,24477.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-813,160,6701,0,23627,3612.04,0.000%,.66547,0.58,0.52,890.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-815,161,5597,0,19637,2844.62,0.000%,.66650,0.55,0.53,841.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-814,166,5496,0,21754,3721.39,0.000%,.67724,0.63,0.53,957.3
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior/-816,166,6868,0,17289,2834.71,0.000%,.66275,16.48,0.59,25464.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-817,168,5212,0,19865,3030.27,0.000%,.65607,0.64,0.52,999.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-819,173,5134,0,16452,2815.63,0.000%,.65914,0.60,0.53,925.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-818,178,5207,0,22997,3285.43,0.000%,.66351,0.69,0.53,1069.6
OLCE/olce-wp/indicador/importaciones-a-traves-de-mecanismo-de-importa-facil/-820,190,6899,0,19474,3217.65,0.000%,.69188,15.20,0.63,22495.8
OLCE/vuce-olce-ui/indicador-nacional/2.12-822,187,387,0,15131,2235.99,0.000%,.69386,2.80,0.61,4131.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-824,186,5038,0,13191,3288.75,0.000%,.65337,0.57,0.53,895.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-825,190,5076,0,16337,3593.60,0.000%,.66251,0.55,0.54,849.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-823,184,4979,0,17327,3632.13,0.000%,.63291,0.60,0.52,965.4
OLCE/submit/firefox-desktop/pageload/1/cc193f11-2008-42cc-b2eb-76b6f652190c-827,104,3916,0,15550,5494.82,0.000%,.36631,0.30,1.33,828.5
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-810,106,2738,0,15121,4495.73,0.000%,.39840,0.54,0.36,1389.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.12-826,158,1914,0,15554,4065.12,0.000%,.61422,0.83,0.56,1389.7
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior-828,154,16336,0,38009,7797.22,0.000%,.56569,14.41,1.04,26082.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-831,180,8245,0,25027,4982.68,0.000%,.66134,0.70,0.53,1076.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-830,194,7672,0,24271,4015.38,0.000%,.71723,0.59,0.57,843.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-832,198,7965,0,27499,3938.86,0.000%,.72936,0.76,0.58,1063.3
OLCE/olce-wp/indicador/distribucion-de-las-importaciones-por-cuode-en-valor-monetario/-833,200,9678,0,26436,3743.98,0.000%,.73258,16.11,0.68,22517.8
OLCE/vuce-olce-ui/indicador-nacional/2.2.2-835,199,111,0,15100,1065.56,0.000%,.73568,2.97,0.65,4131.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-836,200,8287,0,13139,3327.06,0.000%,.73668,0.71,0.61,983.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-838,200,8332,0,12297,3356.62,0.000%,.73706,0.60,0.61,828.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-837,200,8610,0,13416,3483.61,0.000%,.74171,0.65,0.61,897.7
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-839,198,174,0,7111,735.02,0.000%,.73873,1.00,0.67,1388.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-840,199,241,0,3370,256.80,0.000%,.74214,58.16,2.12,80251.7
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.2.2-841,200,72,0,7084,497.30,0.000%,.74618,1.01,0.68,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-842,200,155,0,932,105.01,0.000%,.74600,58.47,2.14,80252.2
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.2.2-843,200,683,0,1913,371.13,0.000%,.74434,801.18,2.13,1102185.6
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior-844,196,18597,0,25899,6603.40,0.000%,.72165,18.37,1.34,26066.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-846,200,8410,0,26780,3530.33,0.000%,.75078,0.79,0.60,1079.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-848,199,7923,0,12358,3300.12,0.000%,.75052,0.67,0.60,913.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-847,200,7773,0,12259,3346.23,0.000%,.75836,0.74,0.61,992.8
OLCE/olce-wp/indicador/distribucion-de-las-exportaciones-por-sector-economico-en-peso/-849,199,8842,0,14195,3502.35,0.000%,.75999,16.71,0.70,22509.9
OLCE/vuce-olce-ui/indicador-nacional/2.1.1-851,200,114,0,15119,1067.34,0.000%,.77717,3.14,0.69,4130.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-852,200,7032,0,12221,3347.84,0.000%,.77649,0.56,0.64,738.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.1.1-855,200,125,0,7136,509.76,0.000%,.79362,1.08,0.72,1389.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-854,200,6161,0,12523,3345.95,0.000%,.79335,0.65,0.65,842.7
