Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero?numeroDocumentoSecundario=&tipoDocumentoSecundario=2&numeroAutenticado=20506601330&idpLogin=AUTHSUNAT&usuarioSol=DCC25301&componente=MR-825,150,552,0,1002,262.49,0.000%,89.92806,114.78,70.08,1307.0
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec?aplicacion=AUTH2&dni=40038284&cacheable=true-826,150,739,0,1853,389.49,0.000%,45.44078,53.69,35.10,1210.0
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/usuario-dni-tercero-828,150,1455,0,3084,703.00,0.000%,28.95194,21.49,24.82,760.0
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/interopera/reniec-827,150,6281,0,11595,2012.11,87.333%,9.77326,8.01,8.45,839.6
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe?tipoDocumento=1&numeroDocumento=20506601330-829,150,1009,0,2145,589.27,0.000%,11.69408,15.17,10.35,1328.0
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/existe-830,150,1195,0,2845,624.91,0.000%,11.18902,7.69,9.79,704.0
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy?idp=AUTHSUNAT&usuario=DCC25301&tipoDocumento=1&numeroDocumento=20506601330-831,150,1147,0,2204,567.34,0.000%,10.72424,13.91,9.87,1328.0
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy-832,150,1207,0,2398,505.56,0.000%,9.98403,14.10,9.09,1446.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-836,150,1136,0,2128,492.05,0.000%,9.30348,11.94,8.08,1314.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico?codigo=TIEMPOCODVAL-834,150,1071,0,1978,433.47,0.000%,8.72296,11.19,7.57,1314.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/catalogo/pais-835,150,1092,0,1987,404.01,0.000%,8.18956,10.51,6.93,1314.0
test/autenticacion2/authentication-ui/assets/svg/icons/info.svg-837,150,89,0,130,9.97,0.000%,8.19493,20.36,4.64,2544.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico-838,150,1427,0,3829,634.15,0.000%,6.99594,4.78,6.01,699.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico-839,150,1539,0,3203,645.40,0.667%,7.03400,4.18,6.50,608.4
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/catalogo/pais-840,150,1609,0,3288,641.75,4.667%,7.15069,66.39,6.45,9507.8
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/usuario/data-min-legacy-833,150,831,0,2518,493.29,63.333%,7.05584,10.52,6.88,1526.4
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/catalogo/ubigeo-841,150,727,0,2357,453.24,0.000%,7.26779,9.80,6.64,1381.0
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/catalogo/ubigeo-842,150,3215,0,9540,2515.15,31.333%,6.99659,875.76,6.33,128173.3
test/autenticacion2/authentication-ui/assets/json/country-codes.json-843,150,190,0,3089,414.93,0.000%,10.20131,385.35,6.93,38681.0
test/autenticacion2/authentication-ui/assets/svg/countries/ao.svg-847,150,125,0,3042,350.66,0.000%,10.22913,25.48,6.56,2550.9
test/autenticacion2/authentication-ui/assets/svg/countries/de.svg-848,150,162,0,3046,521.90,0.000%,9.94102,4.57,6.38,471.0
test/autenticacion2/authentication-ui/assets/svg/countries/al.svg-846,150,234,0,4081,672.36,0.000%,8.23090,72.04,5.28,8962.0
test/autenticacion2/authentication-ui/assets/svg/countries/ad.svg-849,150,274,0,5184,687.13,0.000%,8.11469,383.69,5.21,48418.0
