Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/submit/firefox-desktop/baseline/1/561ad1e2-437e-41cf-a39f-a85762be4b6a-758,150,368,0,453,34.82,0.000%,.25154,0.20,0.53,824.1
OLCE/olce-wp/-759,150,1399,0,2658,591.05,0.000%,.25099,5.64,0.12,23005.7
OLCE/v4/fullHashes:find-761,150,154,0,254,8.96,0.000%,.25105,0.14,0.17,584.0
OLCE/submit/firefox-desktop/newtab/1/78953d1f-d019-42fb-bb18-ef096b3481a3-760,150,271,0,382,34.68,0.000%,.25101,0.20,0.66,824.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-763,150,521,0,1025,236.39,0.000%,.25072,0.23,0.17,932.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-764,150,548,0,1147,238.67,0.000%,.25050,0.20,0.17,811.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-762,150,498,0,1168,244.37,0.000%,.25040,0.19,0.17,795.3
OLCE/olce-wp/categoria-indicador/medio-ambiente/-765,150,1213,0,2521,547.35,0.000%,.24964,5.76,0.19,23635.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-766,150,523,0,1272,243.00,0.000%,.24939,0.24,0.18,1002.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-767,150,512,0,1120,236.03,0.000%,.24922,0.23,0.18,962.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-768,150,538,0,1312,261.54,0.000%,.24916,0.25,0.18,1010.5
OLCE/olce-wp/indicador/empresas-que-han-tomado-medidas-para-reducir-su-huella-de-carbono/-769,150,1142,0,2090,470.64,0.000%,.24869,5.47,0.21,22506.4
OLCE/vuce-olce-ui/indicador-nacional/5.3-771,150,21,0,64,6.52,0.000%,.24877,1.03,0.20,4220.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-774,150,519,0,1168,247.32,0.000%,.24845,0.21,0.21,872.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-772,150,494,0,1354,244.83,0.000%,.24815,0.19,0.21,763.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-773,150,520,0,1223,239.42,0.000%,.24797,0.21,0.21,853.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-775,150,64,0,115,9.12,0.000%,.24800,0.35,0.17,1444.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-776,150,68,0,188,22.08,0.000%,.24800,0.29,0.69,1206.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-777,150,27,0,61,6.62,0.000%,.24801,0.34,0.23,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-778,150,69,0,291,29.73,0.000%,.24800,0.26,0.71,1085.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-779,150,72,0,187,21.65,0.000%,.24800,3.37,0.71,13903.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-780,150,27,0,69,6.71,0.000%,.24801,0.34,0.23,1389.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.3-781,150,69,0,180,19.28,0.000%,.24800,3.37,0.71,13903.2
OLCE/olce-wp/wp-json/olcerest/v2/indicador-782,150,616,0,1362,282.83,0.000%,.24778,0.46,0.19,1908.6
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.3-783,150,27,0,67,6.87,0.000%,.24784,0.34,0.23,1389.2
OLCE/olce-wp/categoria-indicador/medio-ambiente-784,150,1768,0,3526,668.30,0.000%,.24725,5.90,0.45,24418.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-787,150,504,0,1069,233.18,0.000%,.24727,0.23,0.19,935.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-786,150,552,0,1128,235.73,0.000%,.24720,0.18,0.19,727.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-788,150,538,0,1242,239.35,0.000%,.24710,0.21,0.19,867.0
OLCE/olce-wp/indicador/empresas-que-miden-su-huella-de-carbono-del-sector-logistica/-789,150,1134,0,2248,493.83,0.000%,.24690,5.39,0.23,22359.5
OLCE/vuce-olce-ui/indicador-nacional/5.2-791,150,20,0,47,4.63,0.000%,.24696,1.02,0.22,4217.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-792,150,527,0,1197,266.00,0.000%,.24683,0.21,0.20,862.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-793,150,547,0,1343,246.80,0.000%,.24671,0.24,0.20,1003.7
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-794,150,546,0,1323,266.90,0.000%,.24653,0.24,0.20,1010.2
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-795,150,28,0,60,5.78,0.000%,.24656,0.33,0.22,1388.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-796,150,71,0,220,27.10,0.000%,.24655,0.33,0.71,1376.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/5.2-797,150,26,0,50,5.85,0.000%,.24656,0.33,0.23,1389.9
